Day,Hour,Base_Load_W
45,2,2011.1
45,3,2002.7
45,4,2029.0
45,5,2085.7
45,6,2148.0
45,7,2440.6
45,8,2677.8
45,9,2669.4
45,10,2541.6
45,11,2318.6
45,12,2175.2
45,13,2000.3
45,14,1977.9
45,15,1944.5
45,16,1979.7
45,17,2205.1
45,18,2458.0
45,19,2606.3
45,20,2653.7
45,21,2737.7
45,22,2712.9
45,23,2541.4
45,24,2336.2
46,1,2125.3
46,2,2022.6
46,3,2054.3
46,4,2031.8
46,5,2092.6
46,6,2163.0
46,7,2414.8
46,8,2641.2
46,9,2581.9
46,10,2476.7
46,11,2428.0
46,12,2455.8
46,13,2392.3
46,14,2389.2
46,15,2455.2
46,16,2520.6
46,17,2718.5
46,18,2861.0
46,19,2887.4
46,20,2811.8
46,21,2798.6
46,22,2704.0
46,23,2525.5
46,24,2401.7
47,1,2214.5
47,2,2034.9
47,3,2002.9
47,4,1992.5
47,5,2018.8
47,6,2083.2
47,7,2327.7
47,8,2534.1
47,9,2539.6
47,10,2420.2
47,11,2359.1
47,12,2377.1
47,13,2399.1
47,14,2390.4
47,15,2403.6
47,16,2487.9
47,17,2563.5
47,18,2765.8
47,19,2763.1
47,20,2673.3
47,21,2620.7
47,22,2482.5
47,23,2399.3
47,24,2219.1
48,1,2074.2
48,2,1925.5
48,3,1849.3
48,4,1813.4
48,5,1817.8
48,6,1839.5
48,7,1913.5
48,8,1967.2
48,9,2135.1
48,10,2391.9
48,11,2562.4
48,12,2543.9
48,13,2425.4
48,14,2374.4
48,15,2328.7
48,16,2345.9
48,17,2416.4
48,18,2550.7
48,19,2762.1
48,20,2741.2
48,21,2609.3
48,22,2507.6
48,23,2407.3
48,24,2265.2
49,1,2120.0
49,2,2053.8
49,3,1939.9
49,4,1917.4
49,5,1926.2
49,6,1932.6
49,7,2011.6
49,8,2093.9
49,9,2262.5
49,10,2503.0
49,11,2538.4
49,12,2520.6
49,13,2494.1
49,14,2330.3
49,15,2268.2
49,16,2305.7
49,17,2394.6
49,18,2591.9
49,19,2730.6
49,20,2798.2
49,21,2778.7
49,22,2701.5
49,23,2671.1
49,24,2406.5
50,1,2205.9
50,2,2072.7
50,3,2069.8
50,4,2130.9
50,5,2140.7
50,6,2219.8
50,7,2547.0
50,8,2782.8
50,9,2697.5
50,10,2521.4
50,11,2412.8
50,12,2239.8
50,13,2112.6
50,14,2130.3
50,15,2128.2
50,16,2194.0
50,17,2470.3
50,18,2787.3
50,19,2867.3
50,20,2906.0
50,21,2935.0
50,22,2901.5
50,23,2775.3
50,24,2444.5
51,1,2212.5
51,2,2145.0
51,3,2147.6
51,4,2129.0
51,5,2128.4
51,6,2257.9
51,7,2589.2
51,8,2888.2
51,9,2771.6
51,10,2702.6
51,11,2558.7
51,12,2496.8
51,13,2394.5
51,14,2362.3
51,15,2369.9
51,16,2506.7
51,17,2734.6
51,18,2982.0
51,19,3115.7
51,20,3129.5
51,21,3094.2
51,22,3048.8
51,23,2911.0
51,24,2609.5
52,1,2412.4
52,2,2295.6
52,3,2268.5
52,4,2277.1
52,5,2329.8
52,6,2437.8
52,7,2720.8
52,8,3016.8
52,9,2941.7
52,10,2806.0
52,11,2649.6
52,12,2468.5
52,13,2334.2
52,14,2253.8
52,15,2239.5
52,16,2305.5
52,17,2620.3
52,18,2898.6
52,19,3068.1
52,20,3097.7
52,21,3052.3
52,22,3127.1
52,23,3006.1
52,24,2783.3
53,1,2567.4
53,2,2487.6
53,3,2449.7
53,4,2438.3
53,5,2481.7
53,6,2559.5
53,7,2878.8
53,8,3206.4
53,9,3107.6
53,10,3017.1
53,11,2854.0
53,12,2788.5
53,13,2669.6
53,14,2680.7
53,15,2626.2
53,16,2629.0
53,17,2792.7
53,18,3025.4
53,19,3221.5
53,20,3248.6
53,21,3266.1
53,22,3280.3
53,23,3114.2
53,24,2784.0
54,1,2574.1
54,2,2521.7
54,3,2459.2
54,4,2471.7
54,5,2527.4
54,6,2588.7
54,7,2867.2
54,8,3247.5
54,9,3083.3
54,10,2959.6
54,11,2853.2
54,12,2789.8
54,13,2673.3
54,14,2563.7
54,15,2506.9
54,16,2475.7
54,17,2685.1
54,18,2949.2
54,19,3104.1
54,20,3037.0
54,21,3005.1
54,22,2866.2
54,23,2797.8
54,24,2630.6
55,1,2442.8
55,2,1680.5
55,3,2219.9
55,4,2252.4
55,5,2249.4
55,6,2288.1
55,7,2365.0
55,8,2458.4
55,9,2771.0
55,10,2954.2
55,11,3110.2
55,12,3035.8
55,13,3101.4
55,14,3092.9
55,15,3115.5
55,16,3172.7
55,17,3234.9
55,18,3318.0
55,19,3464.6
55,20,3395.6
55,21,3230.5
55,22,3087.2
55,23,2913.4
55,24,2772.1
56,1,2590.5
56,2,2456.1
56,3,2341.1
56,4,2319.3
56,5,2320.5
56,6,2343.1
56,7,2406.9
56,8,2477.0
56,9,2672.5
56,10,2854.2
56,11,2972.8
56,12,2972.8
56,13,2968.8
56,14,2976.6
56,15,2918.6
56,16,2972.7
56,17,3003.7
56,18,3081.6
56,19,3130.5
56,20,3205.0
56,21,3154.4
56,22,2979.5
56,23,2869.7
56,24,2516.3
57,1,2294.3
57,2,2157.3
57,3,2118.1
57,4,2085.3
57,5,2076.3
57,6,2161.1
57,7,2491.3
57,8,2785.0
57,9,2618.7
57,10,2476.6
57,11,2369.4
57,12,2261.4
57,13,2218.4
57,14,2187.1
57,15,2167.5
57,16,2253.0
57,17,2571.1
57,18,2748.2
57,19,2857.7
57,20,2953.4
57,21,2941.1
57,22,2980.6
57,23,2784.8
57,24,2426.8
58,1,2192.3
58,2,2090.1
58,3,2020.4
58,4,2045.9
58,5,2071.3
58,6,2125.7
58,7,2500.9
58,8,2776.5
58,9,2622.2
58,10,2494.2
58,11,2361.6
58,12,2240.5
58,13,2236.9
58,14,2263.4
58,15,2310.6
58,16,2441.7
58,17,2566.4
58,18,2771.6
58,19,2982.2
58,20,2998.6
58,21,3067.5
58,22,3019.9
58,23,2835.3
58,24,2537.5
59,1,2280.1
59,2,2114.6
59,3,2075.6
59,4,2092.3
59,5,2132.2
59,6,2214.3
59,7,2532.0
59,8,2815.0
59,9,2682.4
59,10,2535.2
59,11,2424.6
59,12,2333.8
59,13,2267.9
59,14,2216.6
59,15,2251.4
59,16,2451.6
59,17,2686.9
59,18,2850.4
59,19,2957.5
59,20,2923.2
59,21,2927.2
59,22,3044.9
59,23,2892.4
59,24,2543.3
60,1,2339.8
60,2,2255.9
60,3,2172.2
60,4,2181.0
60,5,2225.3
60,6,2280.4
60,7,2624.9
60,8,2997.3
60,9,2843.7
60,10,2572.5
60,11,2435.5
60,12,2296.6
60,13,2119.3
60,14,2088.0
60,15,2041.3
60,16,2129.3
60,17,2351.4
60,18,2524.2
60,19,2733.2
60,20,2752.3
60,21,2804.1
60,22,2819.7
60,23,2743.0
60,24,2443.7
61,1,2200.3
61,2,2145.5
61,3,2091.6
61,4,2063.9
61,5,2118.1
61,6,2225.6
61,7,2573.4
61,8,2879.9
61,9,2766.2
61,10,2652.1
61,11,2609.6
61,12,2480.4
61,13,2415.9
61,14,2459.8
61,15,2467.8
61,16,2492.1
61,17,2673.9
61,18,2919.7
61,19,3031.4
61,20,3039.0
61,21,2981.9
61,22,2848.3
61,23,2705.9
61,24,2561.0
62,1,2374.4
62,2,2251.5
62,3,2224.1
62,4,2261.0
62,5,2237.6
62,6,2278.2
62,7,2340.5
62,8,2522.6
62,9,2819.7
62,10,2990.2
62,11,2998.4
62,12,2984.9
62,13,2918.3
62,14,2946.0
62,15,2935.3
62,16,2925.8
62,17,3053.7
62,18,3092.5
62,19,3266.0
62,20,3248.9
62,21,3081.3
62,22,2883.1
62,23,2774.1
62,24,2587.8
63,1,2378.5
63,2,2291.1
63,3,2139.3
63,4,2129.4
63,5,2138.3
63,6,2133.5
63,7,2163.4
63,8,2220.6
63,9,2400.6
63,10,2682.2
63,11,2820.1
63,12,2945.9
63,13,2899.6
63,14,2886.5
63,15,2819.9
63,16,2798.1
63,17,2877.8
